ligne_source,fournisseur_colonne_A,dlc_ddm,produit,pu_ht,multiple_de_commande,tva,note_fournisseur
169,MAISON SAINT LO,24 MOIS,Terrine saumon fumé 180 grs,5.2,6/,0.055,
170,MAISON SAINT LO,24 MOIS,Bisque d'étrille 480 ml,4.9,6/,0.055,
171,MAISON SAINT LO,24 MOIS,Choucroute de la mer 320 grs,4.2,6/,0.055,
172,MAISON SAINT LO,24 MOIS,Maquereaux marinés 320 g vin blanc,4.2,6/,0.055,
173,MAISON SAINT LO,24 MOIS,Maquereaux marinés 320 grs moutarde,4.2,6/,0.055,
174,MAISON SAINT LO,24 MOIS,Maquereaux marinés 320g curry,4.2,6/,0.055,
175,MAISON SAINT LO,24 MOIS,Maquereaux marinés 320g tomate,4.2,6/,0.055,
176,MAISON SAINT LO,24 MOIS,Soupe de saumon fumé 740 ml,4.2,6/,0.055,
177,MAISON SAINT LO,24 MOIS,Soupe de truite fumée 740 ml,4.2,6/,0.055,
178,MAISON SAINT LO,24 MOIS,Velouté de saumon 740 ml,4.2,6/,0.055,
179,MAISON SAINT LO,24 MOIS,Velouté de truite 740 ml,4.2,6/,0.055,
180,MAISON SAINT LO,24 MOIS,Soupe de poisson 740 ml,4.2,6/,0.055,
181,MAISON SAINT LO,24 MOIS,Soupe de saumon fumé  480 ml,3.5,6/,0.055,
182,MAISON SAINT LO,24 MOIS,Soupe de truite fumée 480 ml,3.5,6/,0.055,
183,MAISON SAINT LO,24 MOIS,Velouté de saumon 480 ml,3.5,6/,0.055,
184,MAISON SAINT LO,24 MOIS,Velouté de truite 480 ml,3.5,6/,0.055,
185,MAISON SAINT LO,24 MOIS,Soupe de poisson 480 ml,3.5,6/,0.055,
186,MAISON SAINT LO,24 MOIS,Rillettes de saumon noix st Jacques 140 grs,4.9,6/,0.055,
187,MAISON SAINT LO,24 MOIS,Rillettes de truite noix de st jacques 140 grs,4.9,6/,0.055,
188,MAISON SAINT LO,24 MOIS,Terrine de truite fumée 140 grs,4.9,6/,0.055,
189,MAISON SAINT LO,24 MOIS,Rillettes de hareng 140 grs,4.5,6/,0.055,
190,MAISON SAINT LO,24 MOIS,Rillettes de lieu andouille de Vire 140 grs,4.5,6/,0.055,
191,MAISON SAINT LO,24 MOIS,Rillettes de maquereaux moutarde 140grs,4.5,6/,0.055,
192,MAISON SAINT LO,24 MOIS,Rillettes de saumon 140 grs,4.5,6/,0.055,
193,MAISON SAINT LO,24 MOIS,Rillettes de saumon à l'aneth fraîche 140 grs,4.5,6/,0.055,
194,MAISON SAINT LO,24 MOIS,Rillettes de saumon au camembert 140 grs,4.5,6/,0.055,
195,MAISON SAINT LO,24 MOIS,Rillettes de truite 140 grs,4.5,6/,0.055,
196,MAISON SAINT LO,24 MOIS,Rillettes truite moutarde ancienne 140 grs,4.5,6/,0.055,
197,MAISON SAINT LO,24 MOIS,Rillettes de truite à l'aneth fraîche 140 grs,4.5,6/,0.055,
198,MAISON SAINT LO,24 MOIS,Rillettes saumon curry 140 grs,4.5,6/,0.055,
199,MAISON SAINT LO,24 MOIS,Rillettes de langoustines 90 grs,4.6,6/,0.055,
200,MAISON SAINT LO,24 MOIS,Rillettes de homard 90 grs,4.6,6/,0.055,
201,MAISON SAINT LO,24 MOIS,Rillettes de lotte 90 grs,4.5,6/,0.055,
202,MAISON SAINT LO,24 MOIS,Rillettes de lotte au chorizo 90 grs,4.5,6/,0.055,
203,MAISON SAINT LO,24 MOIS,Rillettes noix de st jacques pomme miel 85 g,4.5,6/,0.055,
204,MAISON SAINT LO,24 MOIS,Rillettes de truite fumée au safran 90 g,3.8,6/,0.055,
205,MAISON SAINT LO,24 MOIS,Rillettes saumon aux noix  St Jacques 90 grs,3.5,6/,0.055,
206,MAISON SAINT LO,24 MOIS,Rillettes de truite noix de st jacques 90 grs,3.5,6/,0.055,
207,MAISON SAINT LO,24 MOIS,Terrine de haddock 90 grs,3.5,6/,0.055,
208,MAISON SAINT LO,24 MOIS,Terrine de truite fumée 90 grs,3.5,6/,0.055,
209,MAISON SAINT LO,24 MOIS,Terrine saumon fumé 90 grs,3.5,6/,0.055,
210,MAISON SAINT LO,24 MOIS,Rillettes saumon au miel et curry 90 grs,3.2,6/,0.055,
211,MAISON SAINT LO,24 MOIS,Rillettes de hareng à la tomate 90 grs,3.2,6/,0.055,
212,MAISON SAINT LO,24 MOIS,Rillettes maquereaux moutarde 90 grs,3.2,6/,0.055,
213,MAISON SAINT LO,24 MOIS,Rillettes de sardine 90 grs,3.2,6/,0.055,
214,MAISON SAINT LO,24 MOIS,Rillettes de sardine aux olives 90 grs,3.2,6/,0.055,
215,MAISON SAINT LO,24 MOIS,Rillettes de saumon 90 grs/12,3.2,6/,0.055,
216,MAISON SAINT LO,24 MOIS,Rillettes de saumon à l'aneth fraîche 90 grs,3.2,6/,0.055,
217,MAISON SAINT LO,24 MOIS,Rillettes de saumon au confit d'oignon 90 grs,3.2,6/,0.055,
218,MAISON SAINT LO,24 MOIS,Rillettes de truite 90 grs,3.2,6/,0.055,
219,MAISON SAINT LO,24 MOIS,Rillettes de truite à l'aneth fraîche 90 grs,3.2,6/,0.055,
220,MAISON SAINT LO,24 MOIS,Rillettes de truite moutarde ancienne 90 grs,3.2,6/,0.055,
221,MAISON SAINT LO,24 MOIS,Rillettes lieu andouille de Vire 90 grs,3.2,6/,0.055,
222,MAISON SAINT LO,24 MOIS,rillettes sardine à la tomate 90 grs,3.2,6/,0.055,
223,MAISON SAINT LO,24 MOIS,Rillettes sardine confit d'oignon 90 grs,3.2,6/,0.055,
224,MAISON SAINT LO,24 MOIS,Rillettes saumon à l'andouille de Vire 90 grs,3.2,6/,0.055,
225,MAISON SAINT LO,24 MOIS,Rillettes saumon au curry 90 grs,3.2,6/,0.055,
226,MAISON SAINT LO,24 MOIS,Rillettes saumon camembert 90 grs,3.2,6/,0.055,
227,MAISON SAINT LO,24 MOIS,Rillettes saumon chèvre 90 grs,3.2,6/,0.055,
228,MAISON SAINT LO,24 MOIS,Mousse de saumon 90 grs,3.2,6/,0.055,
229,MAISON SAINT LO,24 MOIS,Mousse de truite 90 grs,3.2,6/,0.055,
230,MAISON SAINT LO,24 MOIS,Rouille 85 grs,2.8,6/,0.055,
231,LA BRULERIE,12 MOIS,"Café ""la tasse de Lola"" 250 grs",5,20/,0.055,
232,LA BRULERIE,12 MOIS,"Café grains ""la tasse de Lola"" 250 grs",5.08,20/,0.055,
233,TATASSE Sachet Kraft 100g,12 MOIS,Thé noir  God save the tea,5.78,6/,0.055,
234,TATASSE Sachet Kraft 100g,12 MOIS,Thé noir Vahiné,5.78,6/,0.055,
235,TATASSE Sachet Kraft 100g,12 MOIS,Thé noir Blue twist,5.78,6/,0.055,
236,TATASSE Sachet Kraft 100g,12 MOIS,Thé noir Back in Black,5.78,6/,0.055,
237,TATASSE Sachet Kraft 100g,12 MOIS,Thé noir Jeu de l'agrume,5.78,6/,0.055,
238,TATASSE Sachet Kraft 100g,12 MOIS,Thé vert Chaud Mojito,5.78,6/,0.055,
239,TATASSE Sachet Kraft 100g,12 MOIS,Thé vert Tasse de Génie,5.78,6/,0.055,
240,TATASSE Sachet Kraft 100g,12 MOIS,Thé vert Hakuna Matatasse,5.78,6/,0.055,
241,TATASSE Sachet Kraft 100g,12 MOIS,Thé vert Jardin d'agrumes,5.78,6/,0.055,
242,TATASSE Sachet Kraft 100g,12 MOIS,Thé vert Rouge aux joues,5.78,6/,0.055,
243,TATASSE Sachet Kraft 100g,12 MOIS,Thé blanc Blanc de poire,5.78,6/,0.055,
244,TATASSE Sachet Kraft 100g,12 MOIS,Thé blanc Tasse des Bois,5.78,6/,0.055,
245,TATASSE Sachet Kraft 100g,12 MOIS,Thé blanc White Sweetness,5.78,6/,0.055,
246,TATASSE Sachet Kraft 100g,12 MOIS,Tisane Bien être Stop Migraine,5.78,6/,0.055,
247,TATASSE Sachet Kraft 100g,12 MOIS,Tisane Bien être Digest Cup,5.78,6/,0.055,
248,TATASSE Sachet Kraft 100g,12 MOIS,Tisane Bien être Oust le rhume,5.78,6/,0.055,
249,TATASSE Sachet Kraft 100g,12 MOIS,Tisane Bien être Punch Power,5.78,6/,0.055,
250,TATASSE Sachet Kraft 100g,12 MOIS,Tisane Bien être SO Quiet,5.78,6/,0.055,
251,TATASSE Sachet Kraft 100g,12 MOIS,Tisane fruitée La Reine encahntée,5.78,6/,0.055,
