id_tarif,id_produit,nom_produit,id_fournisseur,fournisseur,prix_achat_ht,unite_de_prix,prix_au_kg_ht,prix_hors_droits_ht,droits_accises,tva_taux,prix_achat_ttc,texte_exact_du_document,libelle_colonne_prix_source,validite,type_de_document,source,ligne_source
TAR-0042,PROD-0042,Confiture de lait fleur sel Guérande 250 g / 20 P,FOUR-0001,NORMAND DIRECT TERROIR,3.42,unité,,,,0.055,3.6081,3.42,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 51
TAR-0043,PROD-0043,Confiture figue 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 52
TAR-0044,PROD-0044,Confiture orange 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 53
TAR-0045,PROD-0045,Confiture framboise 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 54
TAR-0046,PROD-0046,Confiture mure 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 55
TAR-0047,PROD-0047,Confiture fraise 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 56
TAR-0048,PROD-0048,Confiture abricot 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 57
TAR-0049,PROD-0049,Confiture de rhubarbe 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 58
TAR-0050,PROD-0050,Confiture de Myrtilles 280 grs NOUVEAU,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 59
TAR-0051,PROD-0051,Confiture de Fraise Ananas 280 grs NOUVEAU,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 60
TAR-0052,PROD-0052,Confiture pomme au cidre 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 61
TAR-0053,PROD-0053,Confiture pomme caramel 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 62
TAR-0054,PROD-0054,Confiture pomme rhubarbe 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 63
TAR-0055,PROD-0055,Confiture fraise rhubarbe 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 64
TAR-0056,PROD-0056,Confiture fruits rouges 280 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.1,unité,,,,0.055,3.2705,3.1,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 65
TAR-0057,PROD-0057,Confit de cidre 100 gr,FOUR-0001,NORMAND DIRECT TERROIR,1.98,unité,,,,0.055,2.0889,1.98,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 66
TAR-0058,PROD-0058,Confit de poiré 100 gr,FOUR-0001,NORMAND DIRECT TERROIR,1.98,unité,,,,0.055,2.0889,1.98,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 67
TAR-0059,PROD-0059,Moutarde pommeau 100 gr,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 68
TAR-0060,PROD-0060,Moutarde Calvados 100 gr,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 69
TAR-0061,PROD-0061,Moutarde pomme 100 gr,FOUR-0001,NORMAND DIRECT TERROIR,2.6,unité,,,,0.055,2.743,2.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 70
