id_produit,nom_produit,id_alternative,nom_alternative,relation_prix,ecart_prix_pct,prix_produit_ht,prix_alternative_ht,meme_sous_categorie,meme_regime_alcool,meme_producteur,meme_region_documentee,ecart_noblesse,critere_de_rapprochement
PROD-0014,Croquenoisettes 180 grs,PROD-0007,Cookies pépite de chocolat 220 grs,PRIX_INFERIEUR,-3.5,3.73,3.6,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0015,Croquentin 220 grs,PROD-0006,Boutons de la Manche 250 grs/ carton de 12,PRIX_EQUIVALENT,-1.4,3.5,3.45,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0015,Croquentin 220 grs,PROD-0019,Pailles feuilletées au sucre 150 grs,PRIX_EQUIVALENT,-1.4,3.5,3.45,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0015,Croquentin 220 grs,PROD-0021,Sablé éclats de caramel 180 grs,PRIX_EQUIVALENT,1.7,3.5,3.56,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0015,Croquentin 220 grs,PROD-0005,Boutons de la Manche 250 grs moins de 12,PRIX_SUPERIEUR,2.9,3.5,3.6,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0015,Croquentin 220 grs,PROD-0007,Cookies pépite de chocolat 220 grs,PRIX_SUPERIEUR,2.9,3.5,3.6,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0017,Financier sachet 180 grs,PROD-0006,Boutons de la Manche 250 grs/ carton de 12,PRIX_SUPERIEUR,6.2,3.25,3.45,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0017,Financier sachet 180 grs,PROD-0019,Pailles feuilletées au sucre 150 grs,PRIX_SUPERIEUR,6.2,3.25,3.45,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0017,Financier sachet 180 grs,PROD-0015,Croquentin 220 grs,PRIX_SUPERIEUR,7.7,3.25,3.5,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0017,Financier sachet 180 grs,PROD-0026,Sablette mendiante chocolat 130 grs,PRIX_INFERIEUR,-7.7,3.25,3.0,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0017,Financier sachet 180 grs,PROD-0021,Sablé éclats de caramel 180 grs,PRIX_SUPERIEUR,9.5,3.25,3.56,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0018,Financiers boite 250 grs,PROD-0013,Croquenoisette chocolat 180 grs,PRIX_INFERIEUR,-7.1,4.9,4.55,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0018,Financiers boite 250 grs,PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,PRIX_INFERIEUR,-8.2,4.9,4.5,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0018,Financiers boite 250 grs,PROD-0008,Coquilles Quinéville 165 grs,PRIX_INFERIEUR,-10.8,4.9,4.37,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0018,Financiers boite 250 grs,PROD-0010,Coquilles de Quinéville trio 165 grs,PRIX_INFERIEUR,-10.8,4.9,4.37,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0018,Financiers boite 250 grs,PROD-0012,Croquant aux amandes 125 grs,PRIX_INFERIEUR,-12.2,4.9,4.3,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0019,Pailles feuilletées au sucre 150 grs,PROD-0006,Boutons de la Manche 250 grs/ carton de 12,PRIX_EQUIVALENT,0.0,3.45,3.45,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0019,Pailles feuilletées au sucre 150 grs,PROD-0015,Croquentin 220 grs,PRIX_EQUIVALENT,1.4,3.45,3.5,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0019,Pailles feuilletées au sucre 150 grs,PROD-0021,Sablé éclats de caramel 180 grs,PRIX_SUPERIEUR,3.2,3.45,3.56,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0019,Pailles feuilletées au sucre 150 grs,PROD-0005,Boutons de la Manche 250 grs moins de 12,PRIX_SUPERIEUR,4.3,3.45,3.6,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0019,Pailles feuilletées au sucre 150 grs,PROD-0007,Cookies pépite de chocolat 220 grs,PRIX_SUPERIEUR,4.3,3.45,3.6,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,PROD-0013,Croquenoisette chocolat 180 grs,PRIX_EQUIVALENT,1.1,4.5,4.55,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,PROD-0008,Coquilles Quinéville 165 grs,PRIX_INFERIEUR,-2.9,4.5,4.37,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,PROD-0010,Coquilles de Quinéville trio 165 grs,PRIX_INFERIEUR,-2.9,4.5,4.37,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,PROD-0012,Croquant aux amandes 125 grs,PRIX_INFERIEUR,-4.4,4.5,4.3,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,PROD-0658,COOKIES AUX ÉCLATS DE CARAMEL,PRIX_INFERIEUR,-7.6,4.5,4.16,OUI,OUI,NON,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0021,Sablé éclats de caramel 180 grs,PROD-0005,Boutons de la Manche 250 grs moins de 12,PRIX_EQUIVALENT,1.1,3.56,3.6,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0021,Sablé éclats de caramel 180 grs,PROD-0007,Cookies pépite de chocolat 220 grs,PRIX_EQUIVALENT,1.1,3.56,3.6,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0021,Sablé éclats de caramel 180 grs,PROD-0015,Croquentin 220 grs,PRIX_EQUIVALENT,-1.7,3.56,3.5,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0021,Sablé éclats de caramel 180 grs,PROD-0024,Sablés Mamie 220 grs,PRIX_SUPERIEUR,2.5,3.56,3.65,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0021,Sablé éclats de caramel 180 grs,PROD-0006,Boutons de la Manche 250 grs/ carton de 12,PRIX_INFERIEUR,-3.1,3.56,3.45,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0022,Sablé éclats caramel 110 grs mini 50 paquets,PROD-0003,Palets Camembert du Cotentin pavot 100 grs,PRIX_EQUIVALENT,0.0,2.5,2.5,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
