id_produit,nom_produit,tag,origine_du_tag,statut
PROD-0101,Terrine porc livarot 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0102,Terrine porc camembert 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0103,Terrine campagne au cidre 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0104,Terrine campagne pomme foie gras 180 g,PRODUIT_DE_NOEL,Calculé à partir des données documentées,À VALIDER
PROD-0104,Terrine campagne pomme foie gras 180 g,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0105,Terrine de lièvre au Calvados 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0106,Terrine de faisan au Calvados 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0107,Terrine pomme porc andouille 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0108,Rillettes de poulet citron confit 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0109,Rillettes de poulet piment d'Espelette 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0110,Rillettes de poulet poivre vert 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0111,Rillettes de canard au foie gras 180 grs,PRODUIT_DE_NOEL,Calculé à partir des données documentées,À VALIDER
PROD-0111,Rillettes de canard au foie gras 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0112,Foie gras de canard pot le parfait 120 grs,PRODUIT_DE_NOEL,Calculé à partir des données documentées,À VALIDER
PROD-0112,Foie gras de canard pot le parfait 120 grs,PRODUIT_FRAGILE,Calculé à partir des données documentées,À VALIDER
PROD-0112,Foie gras de canard pot le parfait 120 grs,PREMIUM,Calculé à partir des données documentées,À VALIDER
PROD-0113,Foie gras de canard pot le parfait 180 grs,PRODUIT_DE_NOEL,Calculé à partir des données documentées,À VALIDER
PROD-0113,Foie gras de canard pot le parfait 180 grs,PRODUIT_FRAGILE,Calculé à partir des données documentées,À VALIDER
PROD-0113,Foie gras de canard pot le parfait 180 grs,PREMIUM,Calculé à partir des données documentées,À VALIDER
PROD-0125,Soupe de poisson 50 cl,PRODUIT_FRAGILE,Calculé à partir des données documentées,À VALIDER
PROD-0127,Velouté de homard 50 cl,PRODUIT_FRAGILE,Calculé à partir des données documentées,À VALIDER
PROD-0129,Soupe d'étrilles 50 cl,PRODUIT_FRAGILE,Calculé à partir des données documentées,À VALIDER
PROD-0131,Soupe de langoustines 50 cl,PRODUIT_FRAGILE,Calculé à partir des données documentées,À VALIDER
PROD-0132,Thon ail et fines herbes 90 g,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0133,Deux saumon et basilic 90 g  NOUVEAU,NOUVEAUTE,Calculé à partir des données documentées,À VALIDER
PROD-0133,Deux saumon et basilic 90 g  NOUVEAU,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0134,St jacques éclats de porc fumés 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0135,St jacques algues 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0136,St jacques chorizo 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0137,Sardine piment d'Espelette 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0138,Rouget poireau 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0139,Maquereaux en rillettes 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0140,Crevette mangue 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0141,Cabillaud fumé 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0142,Boudin gelée de pomme 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0143,Poulet caramel beurre salé 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0144,Andouille pommeau 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0145,Rillette au Chorizo 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0146,Camembert au chorizo 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0147,Brie de Meaux cernaux de noix 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0148,Livarot Calvados 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0149,Pont l'évêque échalote 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0150,Chèvre confit de figue 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0151,Bleu tomates confites 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0152,Neufchâtel cramberries 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0153,St jacques foie gras 90 grs,PRODUIT_DE_NOEL,Calculé à partir des données documentées,À VALIDER
PROD-0153,St jacques foie gras 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0154,Ris de veau cèpes 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0155,Saumon  oseille 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0156,Lotte jambon fumé 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0159,Terrine de haddock fumé 150 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0160,Terrine saumon fumé 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0177,Rillettes de saumon noix st Jacques 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0178,Rillettes de truite noix de st jacques 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0179,Terrine de truite fumée 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0180,Rillettes de hareng 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0181,Rillettes de lieu andouille de Vire 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0182,Rillettes de maquereaux moutarde 140grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0183,Rillettes de saumon 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0184,Rillettes de saumon à l'aneth fraîche 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0185,Rillettes de saumon au camembert 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0186,Rillettes de truite 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0187,Rillettes truite moutarde ancienne 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0188,Rillettes de truite à l'aneth fraîche 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0189,Rillettes saumon curry 140 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0190,Rillettes de langoustines 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0191,Rillettes de homard 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0192,Rillettes de lotte 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0193,Rillettes de lotte au chorizo 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
